Couties ,Number Of Sightings
Alameda,4001
Alpine,342
Amador,3503
Butte,2001
Calaveras,1000
Colusa,120
Contra Costa,150
Del Norte,600
El Dorado,2002
Fresno,4023
Glenn,2343
Humboldt,414
Imperial,124
Inyo,543
Kern,214
Kings,1234
Klamath,1245
Lake,3214
Lassen,2335
Los Angeles,5001
Madera,234
Marin,56943
Mariposa,4245
Mendocino,243
Merced,234
Modoc,234
Mono,234
Monterey,234
Napa,50660
Nevada,325
Orange,543
Placer,32
Plumas,543
Riverside,4321
Sacramento,3214
San Benito,1134
San Bernardino,1245
San Diego,1234
San Francisco,60312
San Joaquin,5421
San Luis Obispo,5432
San Mateo,1323
Santa Barbara,1245
Santa Clara,5432
Santa Cruz,1443
Shasta,1231
Sierra,432
Siskiyou,542
Solano,3243
Sonoma,232
Stanislaus,2422
Sutter,324
Tehama,324
Trinity,234
Tulare,435
Tuolumne,1232
Ventura,1234
Yolo,2123
Yuba,1023
