,s
0,ub1bL30650C1
1,ub1bL27974C1
2,ub1bL33722C1
3,obo:VT_0010260
4,obo:VT_0008555
5,prov:Plan
6,obo:VT_0008683
7,ub1bL73360C196
8,http://www.opengis.net/ont/geosparql#wktLiteral
9,obo:VT_0000866
10,ub1bL74163C140
11,Countries:Hungary
12,obo:VT_0006230
13,ub1bL38630C1
14,ub1bL45282C1
15,ub1bL44672C1
16,ub1bL74000C185
17,http://www.opengis.net/ont/geosparql#asGML
18,ub1bL45650C1
19,obo:VT_0002243
20,obo:VT_0015014
21,obo:VT_1000705
22,obo:VT_0008668
23,ub1bL72965C156
24,ub1bL11328C1
25,obo:VT_0002001
26,ub1bL36747C1
27,obo:VT_1000712
28,obo:VT_0010198
29,ub1bL72941C167
30,Countries:SaintKittsAndNevis
31,obo:VT_0001324
32,ub1bL44047C1
33,ub1bL38146C1
34,obo:VT_0015065
35,obo:VT_1000653
36,ub1bL16778C1
37,obo:VT_0010066
38,obo:VT_1000189
39,ub1bL68228C1
40,obo:VT_0000058
41,obo:IAO_0000112
42,ub1bL13352C1
43,ub1bL35392C1
44,prov:qualifiedInvalidation
45,obo:VT_0001051
46,obo:VT_0003425
47,obo:VT_0010437
48,prov:activity
49,obo:VT_0000444
50,obo:VT_0002451
51,obo:VT_0007009
52,ub1bL62658C1
53,ub1bL54539C1
54,obo:VT_0015087
55,obo:VT_0004940
56,ub1bL45187C1
57,ub1bL25057C1
58,ub1bL14210C1
59,obo:VT_0000060
60,obo:VT_0001035
61,:OWLClass_5dad8a86_9318_4b5f_ade8_f12354feecb6
62,ub1bL6080C35
63,obo:VT_0006385
64,obo:VT_0000802
65,ub1bL31066C1
66,ub1bL25930C1
67,ub1bL64326C1
68,ub1bL25910C1
69,obo:VT_0008759
70,ub1bL68095C1
71,obo:VT_0005476
72,obo:VT_0010021
73,obo:VT_0010035
74,ub1bL15562C1
75,prov:editorsDefinition
76,ub1bL52162C1
77,ub1bL36161C1
78,ub1bL16200C1
79,obo:VT_0008240
80,Countries:Cambodia
81,ub1bL44081C1
82,Countries:Niger
83,ub1bL50098C1
84,ub1bL65982C1
85,obo:VT_0004271
86,ub1bL73827C126
87,obo:VT_0003345
88,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#hasSpeed
89,ub1bL60495C1
90,obo:VT_0000379
91,obo:VT_0001416
92,obo:VT_0003686
93,obo:VT_0010374
94,obo:VT_0000044
95,obo:VT_0001398
96,ub1bL46727C1
97,ub1bL74136C225
98,Countries:Antarctica
99,obo:VT_0008637
100,obo:VT_0004094
101,ub1bL49071C1
102,ub1bL73299C217
103,obo:NCBITaxon_3193
104,ub1bL29910C1
105,obo:VT_0015060
106,obo:VT_0001076
107,ub1bL32078C1
108,obo:VT_0008704
109,ub1bL73398C154
110,obo:VT_1000684
111,obo:VT_0004239
112,obo:VT_0010531
113,obo:VT_2000008
114,ub1bL65127C1
115,f48546849c0734cc2bfcb392b68f347bdb498
116,http://www.opengis.net/ont/geosparql#ehCoveredBy
117,ub1bL22652C1
118,ub1bL22674C1
119,ub1bL42393C1
120,obo:VT_0010519
121,ub1bL35459C1
122,f48546849c0734cc2bfcb392b68f347bdb260
123,obo:VT_0003977
124,ub1bL6287C1
125,obo:VT_0002726
126,obo:VT_0010391
127,obo:VT_1000425
128,obo:VT_1000521
129,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#ModerateBreeze
130,ub1bL26019C1
131,obo:VT_0007088
132,ub1bL36524C1
133,obo:VT_0003185
134,untitled-ontology-65:OWLClass_fb56b149_0779_4780_9e83_54a54f5c9c0f
135,f48546849c0734cc2bfcb392b68f347bdb327
136,ub1bL32509C1
137,obo:VT_0006162
138,obo:VT_0000816
139,ub1bL57098C1
140,obo:VT_0000927
141,obo:VT_0010450
142,obo:VT_0000217
143,obo:VT_0010516
144,obo:VT_0000047
145,ub1bL72969C198
146,ub1bL22469C1
147,obo:VT_0001459
148,ub1bL74819C110
149,ub1bL13513C1
150,obo:VT_1000776
151,ub1bL61513C1
152,obo:VT_0010393
153,ub1bL16057C1
154,obo:VT_0001092
155,obo:VT_0010440
156,ub1bL27120C1
157,ub1bL29395C1
158,obo:VT_1000706
159,ub1bL39605C1
160,http://www.opengis.net/ont/geosparql#rcc8eq
161,http://www.opengis.net/ont/geosparql#sfCrosses
162,ub1bL69658C1
163,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Forecast20HoursWeatherReport
164,ub1bL23301C1
165,obo:VT_0003512
166,obo:VT_0000047
167,obo:VT_0002164
168,ub1bL13207C1
169,obo:VT_0002882
170,obo:VT_0001765
171,obo:VT_0002440
172,ub1bL33152C1
173,obo:VT_0001175
174,ub1bL38580C1
175,ub1bL22846C1
176,ub1bL29102C1
177,Countries:Tanzania
178,obo:VT_0000452
179,ub1bL18404C1
180,obo:VT_0002348
181,ub1bL27690C1
182,obo:VT_0005153
183,ub1bL23247C1
184,obo:VT_0000608
185,ub1bL29576C1
186,prov:Quotation
187,ub1bL58461C1
188,ub1bL15401C1
189,ub1bL16250C1
190,obo:VT_1000062
191,obo:VT_0008399
192,obo:VT_0004189
193,obo:VT_0001081
194,obo:VT_0010251
195,f48546849c0734cc2bfcb392b68f347bdb328
196,dc:coverage
197,obo:VT_0000861
198,ub1bL17334C1
199,ub1bL20221C1
200,obo:VT_0002884
201,obo:VT_0005391
202,obo:VT_0008397
203,ub1bL67596C1
204,Countries:Malawi
205,Countries:Australia
206,ub1bL68341C1
207,ub1bL7326C34
208,obo:VT_0002694
209,ub1bL55203C1
210,obo:VT_0000001
211,ub1bL39777C1
212,ub1bL22023C1
213,obo:VT_0002251
214,ub1bL23594C1
215,obo:VT_0002110
216,obo:VT_0003677
217,obo:VT_0003810
218,terms:references
219,ub1bL60230C1
220,obo:VT_0002896
221,obo:VT_0002622
222,obo:VT_0009920
223,obo:VT_0010135
224,ub1bL19678C1
225,obo:VT_0010185
226,ub1bL48658C1
227,f48546849c0734cc2bfcb392b68f347bdb217
228,obo:CDAO_0000192
229,obo:VT_0000736
230,obo:VT_0002636
231,ub1bL44816C1
232,ub1bL18107C1
233,obo:VT_0008171
234,obo:VT_0000202
235,ub1bL41894C1
236,ub1bL20898C1
237,ub1bL25263C1
238,obo:VT_0010348
239,ub1bL9519C1
240,Countries:ElSalvador
241,ub1bL43299C1
242,obo:VT_0005198
243,ub1bL43396C1
244,obo:CDAO_0000030
245,obo:VT_0010465
246,obo:VT_1000519
247,obo:VT_0010019
248,ub1bL25910C1
249,ub1bL12748C1
250,obo:VT_0001022
251,ub1bL30329C1
252,ub1bL10409C1
253,obo:VT_0003690
254,obo:VT_0010315
255,obo:VT_0005193
256,ub1bL23965C1
257,obo:VT_0010344
258,ub1bL63995C1
259,ub1bL73998C164
260,ub1bL21804C1
261,obo:VT_0010081
262,obo:VT_0010110
263,obo:VT_1000606
264,obo:VT_0000816
265,obo:VT_0003047
266,obo:VT_0002115
267,ub1bL41930C1
268,obo:VT_1000525
269,obo:VT_0004101
270,obo:VT_0000248
271,obo:VT_0015006
272,time:Year
273,ub1bL38985C1
274,ub1bL47797C1
275,ub1bL18437C1
276,ub1bL43240C1
277,obo:VT_0008398
278,obo:VT_0001387
279,ub1bL31447C1
280,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Forecast21HoursWeatherReport
281,obo:VT_0005217
282,ub1bL15065C1
283,ub1bL61861C1
284,Countries:Switzerland
285,ub1bL56854C1
286,obo:VT_1000666
287,obo:VT_0010393
288,obo:VT_0002385
289,obo:VT_0000276
290,f48546849c0734cc2bfcb392b68f347bdb498
291,obo:VT_0100011
292,time:hasXSDDuration
293,obo:VT_0001778
294,ub1bL62764C1
295,obo:SIBO_0000245
296,obo:VT_0001451
297,obo:VT_0010052
298,obo:SIBO_0000460
299,obo:VT_0002135
300,ub1bL69698C1
301,ub1bL73150C196
302,Countries:Colombia
303,ub1bL36893C1
304,f48546849c0734cc2bfcb392b68f347bdb194
305,ub1bL53441C1
306,obo:VT_0001281
307,obo:IAO_0000427
308,ub1bL73545C153
309,ub1bL49791C1
310,obo:VT_0000183
311,obo:VT_0001130
312,obo:VT_0003246
313,ub1bL34870C1
314,obo:VT_0003588
315,time:intervalOverlappedBy
316,obo:VT_0004265
317,ub1bL41704C1
318,obo:VT_0002912
319,untitled-ontology-65:OWLObjectProperty_3b9283b9_21ee_43b6_907b_b428a5f7b896
320,ub1bL10831C1
321,obo:VT_0000909
322,obo:VT_0008357
323,obo:VT_0010059
324,f48546849c0734cc2bfcb392b68f347bdb337
325,Countries:Togo
326,f48546849c0734cc2bfcb392b68f347bdb310
327,ub1bL8075C1
328,obo:VT_0008671
329,obo:VT_0002921
330,obo:VT_0002340
331,obo:VT_0007016
332,ub1bL29504C1
333,obo:VT_0005019
334,ub1bL26867C1
335,ub1bL7401C1
336,untitled-ontology-65:OWLClass_882c3d9f_921f_46d8_8ad6_d30a4dbfc737
337,prov:wasAssociatedWith
338,ub1bL28552C1
339,ub1bL59809C1
340,obo:VT_1000431
341,obo:VT_0002607
342,Countries:Zimbabwe
343,obo:VT_0010185
344,obo:VT_0000827
345,ub1bL16351C1
346,obo:VT_0003169
347,obo:VT_0010270
348,ub1bL20641C1
349,obo:IAO_0000598
350,obo:VT_0002436
351,ub1bL62304C1
352,ub1bL16090C1
353,f48546849c0734cc2bfcb392b68f347bdb458
354,f48546849c0734cc2bfcb392b68f347bdb164
355,ub1bL19048C1
356,ub1bL41344C1
357,ub1bL18306C1
358,ub1bL9308C1
359,ub1bL27866C1
360,obo:VT_0002270
361,Countries:Armenia
362,obo:VT_0005337
363,obo:VT_0008894
364,ub1bL55038C1
365,ub1bL59783C1
366,ub1bL1359C1
367,obo:VT_0001107
368,obo:VT_0003871
369,ub1bL60417C1
370,ub1bL49138C1
371,obo:VT_0010240
372,obo:VT_0005432
373,ub1bL36292C1
374,obo:VT_0002123
375,obo:VT_0000461
376,obo:VT_0001690
377,ub1bL26042C1
378,ub1bL43559C1
379,ub1bL73127C175
380,ub1bL30719C1
381,obo:VT_0010141
382,obo:VT_0010319
383,obo:VT_0003055
384,obo:VT_0001830
385,obo:VT_0010148
386,obo:VT_0007024
387,ub1bL26275C1
388,ub1bL74976C112
389,obo:VT_0004944
390,prov:wasInfluencedBy
391,ub1bL51748C1
392,ub1bL41151C1
393,obo:VT_0002371
394,obo:VT_0010040
395,ub1bL67075C1
396,obo:VT_0008251
397,f48546849c0734cc2bfcb392b68f347bdb386
398,obo:VT_0005442
399,ub1bL21685C1
400,ub1bL69678C1
401,obo:VT_0001940
402,obo:VT_1000421
403,ub1bL18177C1
404,Countries:Netherlands
405,prov:qualifiedDelegation
406,ub1bL53898C1
407,obo:VT_0008598
408,ub1bL65906C1
409,ub1bL47061C1
410,ub1bL74588C121
411,ub1bL47097C1
412,ub1bL12007C1
413,obo:VT_0000603
414,ub1bL28817C1
415,ub1bL6159C1
416,obo:VT_0000961
417,obo:VT_0003044
418,obo:VT_0003180
419,obo:VT_0001303
420,ub1bL75050C111
421,ub1bL11437C1
422,obo:VT_0002895
423,Countries:SriLanka
424,http://data.ordnancesurvey.co.uk/ontology/spatialrelations/within
425,obo:VT_0010312
426,ub1bL22364C1
427,obo:VT_0000285
428,ub1bL20620C1
429,time:hour
430,obo:VT_0002211
431,ub1bL14302C1
432,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#CoolingWeatherState
433,obo:VT_0005209
434,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#WeatherPhenomenon
